run_id,run_name,hidden_dim,learning_rate,min_lr_ratio,adam_lr,num_layers,loss,optimizer_name,warmup
exp1570_hidden256-nl4-mup-adamh-decay-to-0-lr3.54e-3-32d36b,exp1570_hidden256-nl4-mup-adamh-decay-to-0-lr3.54e-3-32d36b,256.0,0.003535533905932738,0.0,0.003535533905932738,4.0,4.211917877197266,adamh,0.1
exp1570_hidden512-mup-muonh-decay-to-0-lr2.50e-3-e187c3,exp1570_hidden512-mup-muonh-decay-to-0-lr2.50e-3-e187c3,512.0,0.0025,0.0,0.0025,4.0,3.9063515663146973,muonh,0.0
exp1570_hidden256-mup-muonh-decay-to-0-lr3.54e-3-5e31bb,exp1570_hidden256-mup-muonh-decay-to-0-lr3.54e-3-5e31bb,256.0,0.003535533905932738,0.0,0.003535533905932738,4.0,4.1919636726379395,muonh,0.0
exp1570_hidden512-nl4-mup-adamh-decay-to-0-lr5.00e-3-668cdb,exp1570_hidden512-nl4-mup-adamh-decay-to-0-lr5.00e-3-668cdb,512.0,0.005,0.0,0.005,4.0,3.894793748855591,adamh,0.1
exp1570_hidden512-mup-muonh-decay-to-0-lr3.54e-3-1a8506,exp1570_hidden512-mup-muonh-decay-to-0-lr3.54e-3-1a8506,512.0,0.003535533905932738,0.0,0.003535533905932738,4.0,3.889002561569214,muonh,0.0
exp1570_hidden128-nl16-mup-adamh-anneal-to-0-lr7.07e-3-dc7085,exp1570_hidden128-nl16-mup-adamh-anneal-to-0-lr7.07e-3-dc7085,128.0,0.007071067811865476,0.0,0.007071067811865476,16.0,4.2843241691589355,adamh,0.1
exp1570_hidden512-mup-muonh-decay-to-0-lr5.00e-3-da5441,exp1570_hidden512-mup-muonh-decay-to-0-lr5.00e-3-da5441,512.0,0.005,0.0,0.005,4.0,3.8773179054260254,muonh,0.0
exp1570_hidden128-nl16-mup-muonh-decay-to-0-lr3.54e-3-b260d6,exp1570_hidden128-nl16-mup-muonh-decay-to-0-lr3.54e-3-b260d6,128.0,0.003535533905932738,0.0,0.003535533905932738,16.0,4.290010929107666,muonh,0.0
exp1570_hidden128-nl8-mup-adamh-anneal-to-0-lr5.00e-3-7a662c,exp1570_hidden128-nl8-mup-adamh-anneal-to-0-lr5.00e-3-7a662c,128.0,0.005,0.0,0.005,8.0,4.409740924835205,adamh,0.1
exp1570_hidden128-nl32-mup-muonh-decay-to-0-lr7.07e-3-b31d45,exp1570_hidden128-nl32-mup-muonh-decay-to-0-lr7.07e-3-b31d45,128.0,0.007071067811865476,0.0,0.007071067811865476,32.0,4.148029327392578,muonh,0.0
